SMAD1	HOXC8
SMAD1	LEF1
SMAD1	PIAS1
SMAD1	XPC
SMAD1	PIAS4
SMAD1	MBD1
SMAD1	NOTCH2
SMAD1	GMEB1
KDM5B	PAX9
KDM5B	RB1
CD4	CD38
CD4	PIK3R1
CD4	CD28
CD4	CD2
CD4	DPP4
CD4	CXCL12
CD4	CCR5
CD4	LAT
CD4	IL16
CD4	UNC119
CD4	SELL
CD4	PIP
CD4	PI4KA
CD4	HLA-DQA2
CD4	SPG21
CD4	MARCH4
CD4	CTSD
CD4	TNFRSF10A
CD4	HLA-DQB1
CD4	KCNAB2
CD4	TFRC
CD4	HLA-DPA1
CD4	FCGR3A
CD4	IL2RA
CD4	LGALS1
CD4	PTPRC
CD4	CD53
CD4	CD5
CD4	LCK
CD4	CXCR4
DAB2	FGR
DAB2	ITGB3
DAB2	PRKCB
DAB2	PRKCD
DAB2	PRKCG
DAB2	SRC
DAB2	GRB2
DAB2	TGFBR1
DAB2	TGFBR2
DAB2	LRP2
DAB2	MYO6
DAB2	AP2M1
DAB2	PIN1
DAB2	SMAD2
DAB2	DVL3
DAB2	SMAD3
DAB2	MIB1
DAB2	DIP2A
DAB2	CDK1
DAB2	AXIN1
DAB2	CSK
DAB2	NECAP1
DAB2	ITGB5
CBL	VAV1
CBL	FGR
CBL	LYN
CBL	PLCG1
CBL	PTPN6
CBL	TYK2
CBL	ZAP70
CBL	ITK
CBL	ABL1
CBL	SRC
CBL	NOTCH1
CBL	BLK
CBL	BTK
CBL	SH3KBP1
CBL	SYK
CBL	SCN5A
CBL	VAV2
CBL	NCK1
CBL	SHC1
CBL	INPPL1
CBL	SLA
CBL	PTK2B
CBL	UBE2G1
CBL	LCP2
CBL	CRKL
CBL	SPRY2
CBL	KHDRBS1
CBL	EPHB6
CBL	UBE2D2
CBL	UBE2G2
CBL	UBE2L3
CBL	CD2AP
CBL	SORBS1
CBL	SLA2
CBL	PTPN22
CBL	FRS2
CBL	EIF5B
CBL	CDKL2
CBL	UBASH3B
CBL	GRB2
CBL	PDGFRB
CBL	YWHAB
CBL	YWHAZ
CBL	PRKCA
CBL	EPHA2
CBL	PTPN11
CBL	FYB
CBL	KDR
CBL	AXL
CBL	CD40
CBL	CAPN1
CBL	EPOR
CBL	KIT
CBL	STAT5A
CBL	TRAF6
CBL	TNFRSF11A
CBL	STAT5B
CBL	LAT2
CBL	SH2B2
CBL	OSTF1
CBL	ITCH
CBL	YWHAG
CBL	SORBS2
CBL	PIK3R1
CBL	F2RL1
CBL	ASAP1
CBL	LAT
CBL	PDGFRA
CBL	IGF1R
CBL	FNBP1
CBL	EGFR
CBL	FYN
CBL	HCK
CBL	YWHAQ
CBL	INSR
CBL	KRT18
CBL	LTK
CBL	CD5
CBL	LCK
CBL	CD19
CBL	RET
CBL	CRK
CBL	CSF1R
CBL	MET
VAV1	PLCG1
VAV1	PRLR
VAV1	TYK2
VAV1	MAPK1
VAV1	RHOG
VAV1	HRAS
VAV1	BTK
VAV1	SYK
VAV1	SHB
VAV1	PRKCQ
VAV1	TEC
VAV1	IL6ST
VAV1	HNRNPK
VAV1	SLA
VAV1	PTK2B
VAV1	EZH2
VAV1	LCP2
VAV1	ZYX
VAV1	SH3BP2
VAV1	SIAH2
VAV1	LAT
VAV1	ARHGDIB
VAV1	SOCS1
VAV1	AOC3
VAV1	NEK3
VAV1	CBLB
VAV1	BLNK
VAV1	RACGAP1
VAV1	PAG1
VAV1	DOCK2
VAV1	MET
VAV1	CASP3
VAV1	CDC42
VAV1	ARHGDIA
VAV1	ACTA1
VAV1	HCK
VAV1	CXCR4
VAV1	RAC1
VAV1	RHOA
VAV1	TUBA4A
VAV1	TUBB
VAV1	DNM2
VAV1	XRCC5
VAV1	ZNF655
VAV1	ZAP70
VAV1	GRB2
VAV1	MERTK
VAV1	SHC1
VAV1	PTPN22
VAV1	PTPN6
VAV1	EGFR
VAV1	EPOR
VAV1	FYN
VAV1	INSR
VAV1	JAK2
VAV1	BCR
VAV1	XRCC6
VAV1	LCK
VAV1	CD19
VAV1	RAF1
VAV1	CRK
PLCG1	KIT
PLCG1	LYN
PLCG1	RHOA
PLCG1	PDGFRB
PLCG1	PECAM1
PLCG1	PDGFRA
PLCG1	FGFR2
PLCG1	ZAP70
PLCG1	GNB2L1
PLCG1	SOS1
PLCG1	CD28
PLCG1	ITK
PLCG1	GTF2H1
PLCG1	SRC
PLCG1	NTRK1
PLCG1	NTRK3
PLCG1	WAS
PLCG1	SYN1
PLCG1	SYK
PLCG1	MST1R
PLCG1	PITPNA
PLCG1	SHB
PLCG1	DDR1
PLCG1	PTK2
PLCG1	IRS2
PLCG1	PTPRJ
PLCG1	TUB
